%StNo BotDep	TimeJ	T090C	DepSM	PrDM	SeaTurbMtr
08 47	7.528819	5.0014	-0.022	-0.022	0.623
08 47	7.528819	5.0021	-0.009	-0.009	0.626
08 47	7.528820	5.0017	-0.011	-0.011	0.626
08 47	7.528820	5.0010	-0.009	-0.009	0.623
08 47	7.528821	5.0005	-0.022	-0.022	0.626
08 47	7.528821	4.9987	-0.024	-0.024	0.626
08 47	7.528822	4.9959	-0.009	-0.009	0.626
08 47	7.528822	4.9936	-0.022	-0.022	0.630
08 47	7.528823	4.9917	-0.009	-0.009	0.630
08 47	7.528823	4.9904	-0.011	-0.011	0.634
08 47	7.528824	4.9895	-0.022	-0.022	0.634
08 47	7.528824	4.9907	-0.022	-0.022	0.630
08 47	7.528825	4.9929	-0.022	-0.022	0.626
08 47	7.528825	4.9947	-0.011	-0.011	0.626
08 47	7.528826	4.9958	-0.022	-0.022	0.619
08 47	7.528826	4.9965	-0.022	-0.022	0.619
08 47	7.528827	4.9969	-0.022	-0.022	0.615
08 47	7.528827	4.9975	-0.011	-0.011	0.615
08 47	7.528828	4.9976	-0.022	-0.022	0.615
08 47	7.528828	4.9978	-0.022	-0.022	0.615
08 47	7.528829	4.9976	-0.024	-0.024	0.608
08 47	7.528829	4.9975	-0.009	-0.009	0.608
08 47	7.528830	4.9980	-0.022	-0.022	0.604
08 47	7.528830	4.9980	-0.022	-0.022	0.604
08 47	7.528831	4.9978	-0.011	-0.011	0.604
08 47	7.528831	4.9976	-0.022	-0.022	0.604
08 47	7.528832	4.9975	-0.022	-0.022	0.604
08 47	7.528832	4.9973	-0.022	-0.022	0.608
08 47	7.528832	4.9976	-0.024	-0.024	0.608
08 47	7.528833	4.9969	-0.009	-0.009	0.608
08 47	7.528833	4.9959	-0.022	-0.022	0.612
08 47	7.528834	4.9950	-0.024	-0.024	0.612
08 47	7.528834	4.9942	-0.009	-0.009	0.612
08 47	7.528835	4.9928	-0.022	-0.022	0.615
08 47	7.528835	4.9923	-0.009	-0.009	0.619
08 47	7.528836	4.9915	-0.011	-0.011	0.619
08 47	7.528836	4.9906	-0.022	-0.022	0.623
08 47	7.528837	4.9903	-0.009	-0.009	0.623
08 47	7.528837	4.9896	-0.022	-0.022	0.623
08 47	7.528838	4.9898	-0.011	-0.011	0.626
08 47	7.528838	4.9903	-0.022	-0.022	0.626
08 47	7.528839	4.9898	-0.009	-0.009	0.623
08 47	7.528839	4.9900	-0.011	-0.011	0.619
08 47	7.528840	4.9904	-0.009	-0.009	0.619
08 47	7.528840	4.9910	-0.022	-0.022	0.626
08 47	7.528841	4.9912	-0.009	-0.009	0.634
08 47	7.528841	4.9912	-0.024	-0.024	0.634
08 47	7.528842	4.9914	-0.009	-0.009	0.626
08 47	7.528842	4.9914	-0.033	-0.034	0.615
08 47	7.528843	4.9910	-0.009	-0.009	0.612
08 47	7.528843	4.9903	-0.024	-0.024	0.612
08 47	7.528844	4.9896	-0.022	-0.022	0.615
08 47	7.528844	4.9888	-0.022	-0.022	0.615
08 47	7.528845	4.9882	-0.024	-0.024	0.615
08 47	7.528845	4.9881	-0.009	-0.009	0.612
08 47	7.528845	4.9873	-0.022	-0.022	0.608
08 47	7.528846	4.9870	-0.022	-0.022	0.608
08 47	7.528846	4.9866	-0.024	-0.024	0.608
08 47	7.528847	4.9866	-0.022	-0.022	0.612
08 47	7.528847	4.9864	-0.009	-0.009	0.615
08 47	7.528848	4.9865	-0.033	-0.034	0.619
08 47	7.528848	4.9884	-0.011	-0.011	0.615
08 47	7.528849	4.9903	-0.009	-0.009	0.612
08 47	7.528849	4.9917	-0.022	-0.022	0.608
08 47	7.528850	4.9926	-0.046	-0.047	0.604
08 47	7.528850	4.9936	0.027	0.027	0.604
08 47	7.528851	4.9954	-0.009	-0.009	0.604
08 47	7.528851	4.9967	-0.009	-0.009	0.608
08 47	7.528852	4.9971	0.001	0.001	0.612
08 47	7.528852	4.9967	-0.009	-0.009	0.612
08 47	7.528853	4.9964	0.002	0.002	0.615
08 47	7.528853	4.9961	0.002	0.002	0.615
08 47	7.528854	4.9965	-0.011	-0.011	0.615
08 47	7.528854	4.9965	0.002	0.002	0.615
08 47	7.528855	4.9962	0.002	0.002	0.615
08 47	7.528855	4.9967	0.002	0.002	0.612
08 47	7.528856	4.9976	0.001	0.001	0.612
08 47	7.528856	5.0000	-0.009	-0.009	0.608
08 47	7.528857	5.0029	0.002	0.002	0.608
08 47	7.528857	5.0050	0.001	0.001	0.608
08 47	7.528858	5.0073	0.014	0.014	0.608
08 47	7.528858	5.0084	-0.009	-0.009	0.608
08 47	7.528859	5.0093	0.002	0.002	0.604
08 47	7.528859	5.0103	0.001	0.001	0.604
08 47	7.528859	5.0106	0.002	0.002	0.601
08 47	7.528860	5.0107	0.002	0.002	0.597
08 47	7.528860	5.0112	0.002	0.002	0.597
08 47	7.528861	5.0109	0.001	0.001	0.593
08 47	7.528861	5.0109	0.002	0.002	0.593
08 47	7.528862	5.0111	0.002	0.002	0.593
08 47	7.528862	5.0106	-0.035	-0.035	0.597
08 47	7.528863	5.0103	0.051	0.051	0.601
08 47	7.528863	5.0092	-0.009	-0.009	0.604
08 47	7.528864	5.0084	0.014	0.014	0.608
08 47	7.528864	5.0078	0.001	0.001	0.615
08 47	7.528865	5.0071	0.014	0.014	0.619
08 47	7.528865	5.0067	0.002	0.002	0.623
08 47	7.528866	5.0060	0.002	0.002	0.623
08 47	7.528866	5.0057	0.012	0.012	0.623
08 47	7.528867	5.0062	0.014	0.014	0.626
08 47	7.528867	5.0067	0.002	0.002	0.626
08 47	7.528868	5.0070	0.014	0.014	0.626
08 47	7.528868	5.0070	0.001	0.001	0.634
08 47	7.528869	5.0067	0.014	0.014	0.645
08 47	7.528869	5.0062	0.002	0.002	0.645
08 47	7.528870	5.0056	0.012	0.012	0.634
08 47	7.528870	5.0052	0.002	0.002	0.630
08 47	7.528871	5.0049	0.002	0.002	0.623
08 47	7.528871	5.0046	0.014	0.014	0.626
08 47	7.528872	5.0043	-0.011	-0.011	0.630
08 47	7.528872	5.0045	0.002	0.002	0.634
08 47	7.528872	5.0050	0.002	0.002	0.637
08 47	7.528873	5.0054	0.002	0.002	0.637
08 47	7.528873	5.0068	0.001	0.001	0.634
08 47	7.528874	5.0082	-0.009	-0.009	0.630
08 47	7.528874	5.0096	-0.009	-0.009	0.630
08 47	7.528875	5.0111	-0.009	-0.009	0.630
08 47	7.528875	5.0122	0.001	0.001	0.626
08 47	7.528876	5.0129	-0.022	-0.022	0.626
08 47	7.528876	5.0134	0.002	0.002	0.619
08 47	7.528877	5.0133	-0.011	-0.011	0.619
08 47	7.528877	5.0117	0.002	0.002	0.619
08 47	7.528878	5.0107	-0.022	-0.022	0.615
08 47	7.528878	5.0098	-0.009	-0.009	0.615
08 47	7.528879	5.0093	-0.011	-0.011	0.615
08 47	7.528879	5.0092	-0.009	-0.009	0.612
08 47	7.528880	5.0093	-0.022	-0.022	0.612
08 47	7.528880	5.0093	-0.009	-0.009	0.608
08 47	7.528881	5.0095	-0.011	-0.011	0.604
08 47	7.528881	5.0091	-0.009	-0.009	0.604
08 47	7.528882	5.0093	-0.022	-0.022	0.601
08 47	7.528882	5.0093	-0.011	-0.011	0.601
08 47	7.528883	5.0093	-0.009	-0.009	0.604
08 47	7.528883	5.0090	-0.022	-0.022	0.608
08 47	7.528884	5.0092	-0.009	-0.009	0.615
08 47	7.528884	5.0092	-0.024	-0.024	0.623
08 47	7.528885	5.0089	-0.009	-0.009	0.626
08 47	7.528885	5.0089	-0.022	-0.022	0.619
08 47	7.528886	5.0085	-0.022	-0.022	0.615
08 47	7.528886	5.0082	-0.011	-0.011	0.615
08 47	7.528886	5.0078	-0.009	-0.009	0.619
08 47	7.528887	5.0073	-0.022	-0.022	0.615
08 47	7.528887	5.0070	-0.011	-0.011	0.612
08 47	7.528888	5.0065	-0.009	-0.009	0.615
08 47	7.528888	5.0063	-0.009	-0.009	0.615
08 47	7.528889	5.0062	-0.009	-0.009	0.615
08 47	7.528889	5.0057	-0.011	-0.011	0.612
08 47	7.528890	5.0056	0.002	0.002	0.608
08 47	7.528890	5.0052	-0.009	-0.009	0.608
08 47	7.528891	5.0049	0.002	0.002	0.604
08 47	7.528891	5.0046	-0.011	-0.011	0.601
08 47	7.528892	5.0045	0.002	0.002	0.601
08 47	7.528892	5.0045	0.002	0.002	0.604
08 47	7.528893	5.0045	-0.009	-0.009	0.608
08 47	7.528893	5.0041	0.012	0.012	0.615
08 47	7.528894	5.0040	-0.009	-0.009	0.615
08 47	7.528894	5.0037	0.002	0.002	0.612
08 47	7.528895	5.0038	0.001	0.001	0.608
08 47	7.528895	5.0037	-0.009	-0.009	0.604
08 47	7.528896	5.0042	-0.009	-0.009	0.608
08 47	7.528896	5.0052	0.002	0.002	0.612
08 47	7.528897	5.0060	-0.011	-0.011	0.619
08 47	7.528897	5.0063	0.002	0.002	0.626
08 47	7.528898	5.0068	-0.009	-0.009	0.630
08 47	7.528898	5.0076	-0.022	-0.022	0.626
08 47	7.528899	5.0078	0.001	0.001	0.619
