%StNo BotDep	DepSM	Potemp090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
08 47	0.002	4.9783	27.9319	22.0791	3.0525e-01	0.4312	0.612	1461.65	75.119	5.5737	7.528739
08 47	0.012	4.9766	27.9336	22.0806	3.0525e-01	0.4288	0.615	1461.64	75.048	5.5685	7.528739
08 47	0.002	4.9745	27.9292	22.0773	2.9304e-01	0.4312	0.619	1461.63	75.040	5.5684	7.528740
08 47	0.002	4.9731	27.9322	22.0798	2.9304e-01	0.4300	0.623	1461.62	74.969	5.5632	7.528740
08 47	0.002	4.9720	27.9317	22.0795	2.9304e-01	0.4312	0.623	1461.62	74.960	5.5627	7.528741
08 47	0.001	4.9712	27.9299	22.0781	2.9304e-01	0.4300	0.623	1461.61	74.898	5.5583	7.528741
08 47	0.002	4.9714	27.9348	22.0820	2.8083e-01	0.4312	0.626	1461.62	74.891	5.5575	7.528742
08 47	0.002	4.9720	27.9334	22.0808	2.8083e-01	0.4300	0.630	1461.62	74.829	5.5529	7.528742
08 47	-0.009	4.9723	27.9348	22.0819	2.8083e-01	0.4300	0.634	1461.62	74.822	5.5523	7.528743
08 47	0.001	4.9728	27.9409	22.0867	2.6862e-01	0.4324	0.634	1461.63	74.761	5.5475	7.528743
08 47	-0.009	4.9728	27.9410	22.0868	2.6862e-01	0.4337	0.634	1461.63	74.755	5.5470	7.528744
08 47	-0.009	4.9731	27.9411	22.0868	2.8083e-01	0.4349	0.637	1461.64	74.695	5.5425	7.528744
08 47	-0.011	4.9726	27.9401	22.0861	2.6862e-01	0.4385	0.634	1461.63	74.698	5.5428	7.528745
08 47	-0.022	4.9715	27.9351	22.0822	2.6862e-01	0.4373	0.630	1461.62	74.639	5.5388	7.528745
08 47	-0.009	4.9704	27.9359	22.0830	2.6862e-01	0.4349	0.626	1461.62	74.634	5.5386	7.528746
08 47	-0.009	4.9701	27.9321	22.0800	2.6862e-01	0.4349	0.623	1461.61	74.576	5.5344	7.528746
08 47	-0.024	4.9692	27.9266	22.0758	2.6862e-01	0.4349	0.619	1461.60	74.581	5.5351	7.528747
08 47	-0.009	4.9695	27.9231	22.0730	2.6862e-01	0.4361	0.612	1461.60	74.523	5.5309	7.528747
08 47	-0.009	4.9693	27.9167	22.0679	2.8083e-01	0.4349	0.608	1461.59	74.529	5.5316	7.528748
08 47	-0.009	4.9690	27.9151	22.0667	2.8083e-01	0.4349	0.604	1461.59	74.473	5.5275	7.528748
08 47	-0.011	4.9687	27.9153	22.0669	2.8083e-01	0.4337	0.604	1461.59	74.480	5.5281	7.528749
08 47	-0.022	4.9703	27.9113	22.0636	2.9304e-01	0.4349	0.604	1461.59	74.424	5.5239	7.528749
08 47	0.002	4.9712	27.9127	22.0645	2.9304e-01	0.4337	0.608	1461.59	74.432	5.5243	7.528750
08 47	-0.009	4.9720	27.9138	22.0653	2.9304e-01	0.4337	0.608	1461.60	74.440	5.5248	7.528750
08 47	-0.011	4.9708	27.9137	22.0654	2.9304e-01	0.4312	0.612	1461.59	74.394	5.5215	7.528750
08 47	0.002	4.9700	27.9185	22.0693	2.9304e-01	0.4324	0.612	1461.59	74.403	5.5221	7.528751
08 47	-0.009	4.9690	27.9207	22.0711	2.9304e-01	0.4324	0.615	1461.59	74.358	5.5188	7.528751
08 47	-0.011	4.9679	27.9227	22.0728	2.8083e-01	0.4337	0.615	1461.59	74.305	5.5150	7.528752
08 47	0.002	4.9671	27.9277	22.0768	2.9304e-01	0.4324	0.615	1461.59	74.316	5.5157	7.528752
08 47	-0.009	4.9668	27.9283	22.0773	2.9304e-01	0.4349	0.619	1461.59	74.326	5.5165	7.528753
08 47	-0.009	4.9671	27.9313	22.0796	2.8083e-01	0.4385	0.619	1461.60	74.345	5.5178	7.528753
08 47	0.001	4.9673	27.9350	22.0826	2.6862e-01	0.4373	0.623	1461.60	74.302	5.5144	7.528754
08 47	-0.009	4.9676	27.9339	22.0816	2.6862e-01	0.4373	0.626	1461.60	74.313	5.5152	7.528754
08 47	-0.022	4.9681	27.9369	22.0840	2.6862e-01	0.4398	0.626	1461.61	74.332	5.5164	7.528755
08 47	-0.009	4.9684	27.9385	22.0853	2.6862e-01	0.4385	0.623	1461.61	74.288	5.5131	7.528755
08 47	-0.011	4.9686	27.9391	22.0857	2.6862e-01	0.4422	0.623	1461.61	74.307	5.5144	7.528756
08 47	-0.022	4.9687	27.9432	22.0889	2.6862e-01	0.4434	0.626	1461.62	74.263	5.5110	7.528756
08 47	-0.009	4.9687	27.9458	22.0910	2.5641e-01	0.4410	0.630	1461.62	74.282	5.5123	7.528757
08 47	-0.035	4.9687	27.9487	22.0933	2.6862e-01	0.4422	0.630	1461.63	74.300	5.5135	7.528757
08 47	-0.009	4.9684	27.9521	22.0960	2.6862e-01	0.4434	0.626	1461.63	74.255	5.5101	7.528758
08 47	-0.045	4.9681	27.9513	22.0954	2.6862e-01	0.4410	0.626	1461.63	74.272	5.5114	7.528758
08 47	-0.022	4.9677	27.9524	22.0963	2.6862e-01	0.4422	0.630	1461.63	74.226	5.5080	7.528759
08 47	-0.035	4.9673	27.9544	22.0980	2.6862e-01	0.4422	0.637	1461.63	74.242	5.5092	7.528759
08 47	-0.033	4.9668	27.9515	22.0957	2.6862e-01	0.4398	0.641	1461.62	74.266	5.5111	7.528760
08 47	-0.022	4.9664	27.9517	22.0959	2.6862e-01	0.4398	0.648	1461.62	74.227	5.5083	7.528760
08 47	-0.045	4.9660	27.9499	22.0945	2.6862e-01	0.4422	0.659	1461.62	74.241	5.5094	7.528761
08 47	-0.024	4.9654	27.9463	22.0917	2.5641e-01	0.4447	0.663	1461.61	74.254	5.5107	7.528761
08 47	-0.045	4.9654	27.9466	22.0919	2.6862e-01	0.4410	0.663	1461.61	74.275	5.5122	7.528762
08 47	-0.033	4.9651	27.9445	22.0903	2.6862e-01	0.4422	0.648	1461.61	74.240	5.5097	7.528762
08 47	-0.024	4.9649	27.9433	22.0894	2.6862e-01	0.4410	0.637	1461.60	74.259	5.5112	7.528763
08 47	-0.033	4.9645	27.9461	22.0916	2.6862e-01	0.4434	0.623	1461.61	74.213	5.5077	7.528763
08 47	-0.033	4.9646	27.9432	22.0893	2.5641e-01	0.4434	0.612	1461.60	74.229	5.5090	7.528764
08 47	-0.022	4.9647	27.9438	22.0898	2.5641e-01	0.4422	0.608	1461.60	74.244	5.5101	7.528764
08 47	-0.035	4.9651	27.9473	22.0925	2.8083e-01	0.4385	0.608	1461.61	74.203	5.5069	7.528764
08 47	-0.022	4.9653	27.9471	22.0924	2.9304e-01	0.4373	0.604	1461.61	74.215	5.5077	7.528765
08 47	-0.022	4.9656	27.9501	22.0947	2.9304e-01	0.4373	0.601	1461.62	74.171	5.5043	7.528765
08 47	-0.022	4.9654	27.9494	22.0941	2.8083e-01	0.4385	0.597	1461.61	74.181	5.5051	7.528766
